Year,Passengers
1970,7.32
1971,7.33
1972,7.8
1973,9.38
1974,10.66
1975,11.06
1976,10.86
1977,11.31
1978,12.12
1979,13.02
1980,13.65
1981,13.22
1982,13.19
1983,12.6
1984,13.24
1985,14.41
1986,15.5
1987,16.88
1988,18.82
1989,15.11
1990,17.55
1991,21.86
1992,23.89
1993,26.93
1994,26.89
1995,28.83
1996,30.08
1997,30.95
1998,30.19
1999,31.58
2000,32.58
2001,33.48
2002,39.02
2003,41.39
2004,41.6
2005,44.66
2006,46.95
2007,48.73
2008,51.49
2009,50.03
2010,60.64
2011,63.36
2012,66.36
2013,68.2
2014,68.12
2015,69.78
2016,72.6
